prime,target,condition,thisN,thisTrialN,thisRepN,prResponse.keys,prResponse.rt,prResponse.duration,response.keys,response.rt,response.duration,prTrials.thisRepN,prTrials.thisTrialN,prTrials.thisN,prTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions2Disp.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions2.started,text.started,key_resp_3.started,instructions2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions3.started,text_2.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions4.started,text_3.started,key_resp_5.started,instructions4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instructions5.started,text_4.started,key_resp_6.started,instructions5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instructions6.started,text_5.started,key_resp_7.started,instructions6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions7.started,text_6.started,key_resp_8.started,instructions7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions8.started,text_7.started,key_resp_9.started,instructions8.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,prFixation.started,prFixationDisp.started,prFixationDisp.stopped,prFixation.stopped,prPrime.started,prPrimeDisp.started,prPrimeDisp.stopped,prPrime.stopped,prTarget.started,prTargetDisp.started,prResponse.started,prTarget.stopped,prTrials.prResponse.keys,prTrials.prResponse.rt,prTrials.prResponse.duration,ready.started,readyDisp.started,key_resp.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.started,fixationDisp.started,fixationDisp.stopped,fixation.stopped,expPrime.started,primeDisp.started,primeDisp.stopped,expPrime.stopped,expTarget.started,targetDisp.started,response.started,expTarget.stopped,trials.response.keys,trials.response.rt,trials.response.duration,complete.started,completeMessage.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.004592583980411291,0.01015125005505979,0.01015125005505979,5.741273833904415,space,5.651042707962915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.741316249826923,5.747527041938156,5.747527041938156,8.081040791934356,space,2.328504459001124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.081097958842292,8.095048666931689,8.095048666931689,9.958858584053814,space,1.8554993339348584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.958954375004396,9.966187292011455,9.966187292011455,11.458912709029391,space,1.4839835830498487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.458996249828488,11.466143166879192,11.466143166879192,13.142223167000338,space,1.6645663331728429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.142304583918303,13.149466499919072,13.149466499919072,14.576976499985904,space,1.4207971671130508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.577047416940331,14.583541666856036,14.583541666856036,16.59186699986458,space,1.998022209154442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.591931958915666,16.598840625025332,16.598840625025332,18.02507062489167,space,1.4228102499619126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
conference,strenger ,practice,0,0,0,f,0.7604617921169847,None,,,,0,0,0,4,,,,,18.042740624863654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03764033387415,18.52235008403659,19.511819583829492,19.507046833867207,19.5092540839687,19.521543625043705,20.013524083886296,20.00789266685024,20.01002608402632,20.021268917014822,20.021268917014822,20.792033416917548,f,0.7604617921169847,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
town,grape ,practice,1,1,0,j,0.49731516698375344,None,,,,0,1,1,7,,,,,20.798235999885947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.792276042047888,21.288808834040537,22.280833083903417,22.274907500017434,22.27722691698,22.287938999943435,22.78061691694893,22.77472266694531,22.77710641687736,22.787930167047307,22.787930167047307,23.291885250015184,j,0.49731516698375344,None,,,,,,,,,,,,,,,,,,,,,,,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
